dungeon_name;keystone_boss_or_validation_target;confidence;notes
Ragefire Chasm;Taragaman the Hungerer;Confirme;Boss de validation Mythic Ascension
Wailing Caverns;Mutanus the Devourer;Confirme;Boss final apres l'escorte de Naralex
The Deadmines;Edwin VanCleef;Confirme;Boss de validation Mythic Ascension
Shadowfang Keep;Archmage Arugal;Confirme;Boss de validation Mythic Ascension
The Stockade;Bazil Thredd;Confirme;Cible Mythic presente dans la base Ascension
Blackfathom Deeps;Aku'mai;Confirme;Boss de validation Mythic Ascension
Gnomeregan;Mekgineer Thermaplugg;Confirme;Boss final de la route complete
Razorfen Kraul;Charlga Razorflank;Confirme;Boss de validation Mythic Ascension
Scarlet Graveyard;Bloodmage Thalnos;Confirme;Boss de validation Mythic Ascension
Scarlet Library;Arcanist Doan;Confirme;Boss de validation Mythic Ascension
Scarlet Armory;Herod;Confirme;Boss de validation Mythic Ascension
Scarlet Cathedral;High Inquisitor Whitemane;Confirme;Mograine declenche Whitemane mais Whitemane est la cible de validation Mythic
Razorfen Downs;Amnennar the Coldbringer;Confirme;Boss de validation Mythic Ascension
Uldaman;Archaedas;Confirme;"Boss de la route complete; d'autres sous-routes Mythic peuvent avoir leur propre cible"
Zul'Farrak;Chief Ukorz Sandscalp;Confirme;Boss de validation Mythic Ascension
Maraudon - Purple / Wicked Grotto;Lord Vyletongue;Confirme;Cible Mythic de l'aile violette dans la base Ascension
Maraudon - Orange / Foulspore Cavern;Razorlash;Confirme;Boss final de l'aile orange explicitement confirme par le guide Ascension
Maraudon - Inner / Earth Song Falls;Princess Theradras;Confirme;Cible Mythic de Maraudon interieur
Sunken Temple / Temple of Atal'Hakkar;Shade of Eranikus;Confirme;Cible Mythic presente dans la base Ascension
Blackrock Depths;Emperor Dagran Thaurissan;Confirme;"Boss de la route complete; certaines sous-routes Mythic ont leur propre cible"
Lower Blackrock Spire;Overlord Wyrmthalak;Confirme;Boss final de la route basse
Upper Blackrock Spire;General Drakkisath;Confirme;Boss final de la route haute
Dire Maul East;Alzzin the Wildshaper;Confirme;Boss de validation Mythic Ascension
Dire Maul North;King Gordok;Confirme;Boss de validation Mythic Ascension
Dire Maul West;Prince Tortheldrin;Confirme;Boss de validation Mythic Ascension
Scholomance;Darkmaster Gandling;Confirme;Boss final de la route complete
Stratholme - Main Gate;Balnazzar;Confirme;Boss de validation de la route Porte principale
Stratholme - Service Entrance;Baron Rivendare;Confirme;Boss de validation Mythic Ascension
Blackrock Caverns;Ascendant Lord Obsidius;Confirme;Cible Mythic presente dans la base Ascension
